termID	en	fr
Utilities.ColourTableDescriptionRow86	Border of unselected form elements while displaying information and in a hover state.	[FR] Border of unselected form elements while displaying information and in a hover state.
Utilities.ColourTableDescriptionRow87	Border of unselected form elements while displaying information and in a disabled state.	[FR] Border of unselected form elements while displaying information and in a disabled state.
Utilities.ColourTableDescriptionRow88	Text used for information messages.	[FR] Text used for information messages.
Utilities.ColourTableDescriptionRow89	Main background of the page.	[FR] Main background of the page.
Utilities.ColourTableDescriptionRow90	Can be used for side panels, mastheads, footers if using a different colour than the main bg is desired.	[FR] Can be used for side panels, mastheads, footers if using a different colour than the main bg is desired.
Utilities.ColourTableDescriptionRow91	Used for surfaces that temporarily overlay on the main product – flyout menus, modal windows, dropdown menus, etc.	[FR] Used for surfaces that temporarily overlay on the main product – flyout menus, modal windows, dropdown menus, etc.
Utilities.ColourTableDescriptionRow92	Background fill on interactive elements that have no fill when in the hover state.	[FR] Background fill on interactive elements that have no fill when in the hover state.
Utilities.ColourTableDescriptionRow93	Background fill on interactive elements that have no fill when in the active state.	[FR] Background fill on interactive elements that have no fill when in the active state.
Utilities.ColourTableDescriptionRow94	Generic, accessible border outline. Can be used to outline input fields, tables, etc.	[FR] Generic, accessible border outline. Can be used to outline input fields, tables, etc.
Utilities.ColourTableDescriptionRow95	Generic, accessible border outline in the hover state. Can be used to outline input fields, etc.	[FR] Generic, accessible border outline in the hover state. Can be used to outline input fields, etc.
Utilities.ColourTableDescriptionRow96	Generic, accessible border outline in the disabled state. Can be used to outline input fields, etc.	[FR] Generic, accessible border outline in the disabled state. Can be used to outline input fields, etc.
Utilities.ColourTableDescriptionRow97	Used for divider lines to separate content, page architecture, table cells, etc.	[FR] Used for divider lines to separate content, page architecture, table cells, etc.
Utilities.ColourTableDescriptionRow98	Transparent background used to create separation between a screen and a popup or modal window.	[FR] Transparent background used to create separation between a screen and a popup or modal window.
Utilities.ColourTableDescriptionRow99	Used for selected indicators on navigation items.	[FR] Used for selected indicators on navigation items.
Utilities.ColourTableDescriptionRow100	Used for selected indicators on navigation items that are in a hover state.	[FR] Used for selected indicators on navigation items that are in a hover state.
Utilities.ColourTableDescriptionRow101	Used for selected backgrounds on navigation items.	[FR] Used for selected backgrounds on navigation items.
Utilities.ColourTableDescriptionRow102	Used for selected backgrounds on navigation items that are in a hover state.	[FR] Used for selected backgrounds on navigation items that are in a hover state.
Utilities.ColourTableDescriptionRow103	Used to indicate selected form controls.	[FR] Used to indicate selected form controls.
Utilities.ColourTableDescriptionRow104	Used to indicate selected form controls that are in a hover state.	[FR] Used to indicate selected form controls that are in a hover state.
Utilities.ColourTableDescriptionRow105	Used for selected indicators on navigation items that are in a disabled state.	[FR] Used for selected indicators on navigation items that are in a disabled state.
Utilities.ColourTableDescriptionRow106	Used to indicate selected form controls that are in a disabled state.	[FR] Used to indicate selected form controls that are in a disabled state.
Utilities.ColourTableDescriptionRow107	Text and selected indicators on top of components that are in a selected state. For example, the checkmark icon within of a selected checkbox.	[FR] Text and selected indicators on top of components that are in a selected state. For example, the checkmark icon within of a selected checkbox.
Utilities.ColourTableDescriptionRow108	All text that requires a primary visual hierarchy.	[FR] All text that requires a primary visual hierarchy.
Utilities.ColourTableDescriptionRow109	All text that requires a secondary visual hierarchy. Can also be used as supporting text alongside primary text if there is a contextual relationship between the two.	[FR] All text that requires a secondary visual hierarchy. Can also be used as supporting text alongside primary text if there is a contextual relationship between the two.
Utilities.ColourTableDescriptionRow110	Placeholder text within input field components.	[FR] Placeholder text within input field components.
Utilities.ColourTableDescriptionRow111	Disabled text within interactive elements that use a neutral text palette.	[FR] Disabled text within interactive elements that use a neutral text palette.
Utilities.ColourTableDescriptionRow112	The outline used to indicate that an element is in focus.	[FR] The outline used to indicate that an element is in focus.
Utilities.TypographyTableStyleHeading	Style	Style
Utilities.TypographyTableFontWeightHeading	Font & weight	Police et dimensions
Utilities.TypographyTableLineHeightHeading	Line height & paragraph spacing	Hauteur de ligne et espacement des paragraphes
Utilities.TypographyTableFigmaHeading	Figma text style	Style de texte Figma
Utilities.TypographyTableTokenHeading	Class name	Nom du cours
Utilities.AccessibilityHeading	Accessibility	[FR] Accessibility
Utilities.Letter	Aa	[FR] Aa
RightSideNav.OnThisPage	On this Page	Sur cette page
LeftSideNav.title.foundation	Foundation	Fondation
LeftSideNav.title.components	Components	Composants
LeftSideNav.title.support	Support	Soutien
LeftSideNav.sub-titles.accessibility	Accessibility	Accessibilité
LeftSideNav.sub-titles.colours	Colours	Couleurs
LeftSideNav.sub-titles.typography	Typography	Typographie
LeftSideNav.sub-titles.iconography	Iconography	Iconographie
LeftSideNav.sub-titles.layouts	Layouts	Dispositions
LeftSideNav.sub-titles.tokens	Tokens	Jetons
LeftSideNav.sub-titles.checkbox	Checkbox	Case à cocher
LeftSideNav.sub-titles.external-link	External Link	Lien externe
LeftSideNav.sub-titles.footer	Footer	Bas de page
LeftSideNav.sub-titles.header	Header	Entête
LeftSideNav.sub-titles.icon-button	Icon button	Bouton icône
LeftSideNav.sub-titles.input-field	Input field	Champ de saisie
LeftSideNav.sub-titles.radio-button	Radio button	Bouton radio
LeftSideNav.sub-titles.tabs	Tabs	Onglets
LeftSideNav.sub-titles.contact	Contact us	Contactez-nous
Overview.Heading	Overview	Aperçu
Overview.SubHeading	IRCC Design System	Système De Conception IRCC
Overview.Text	The IRCC design system is a toolkit of shared design and code that provides visual language, components, patterns and guidelines – all in one centralized source of truth that enables product teams to build scalable, accessible, unified experiences. It is customized for the client and officer experience and allows teams to efficiently build consistent immigration digital services.	Le système de conception IRCC est une boîte à outils de conception et de code partagés qui fournit un langage visuel, des composants, des modèles et des directives, le tout dans une source de vérité centralisée qui permet aux équipes de produits de créer des expériences évolutives, accessibles et unifiées. Il est personnalisé pour l'expérience du client et de l'agent et permet aux équipes de créer efficacement des services numériques d'immigration cohérents.
Overview.DesignerHeading	For designers	Pour les concepteurs
Overview.DesignerText	Learn how to get started with the IRCC design system Figma library.	Découvrez comment démarrer avec la bibliothèque Figma du système de conception IRCC.
Overview.DeveloperHeading	For developers	Pour les développeurs
Overview.DeveloperText	Learn how to get started setting up the IRCC Design System in your project.	Découvrez comment commencer à mettre en œuvre le système de conception IRCC dans votre projet.
Overview.GetStartedHeading	Get started	Commencer
Overview.DeveloperPackageTxt	This package contains the theming functionality for the Journey Design System.	FR This package contains the theming functionality for the Journey Design System.
Designers.Heading	For designers	Pour les concepteurs
Designers.HeadingText	If you’re a designer, start here to find everything you need to use the design system’s Figma library.	Si vous êtes un concepteur, commencez ici pour trouver tout ce dont vous avez besoin pour utiliser la bibliothèque Figma du système de conception.
Designers.AboutHeading	About the design library	À propos de la bibliothèque de conception
Designers.AboutText1	The design system consists, in part, of a Figma library. This is the primary tool for designers to use and it allows them to create system-compatible designs. The design library is a centralized set of Figma files that is maintained by a core design system team. By connecting your project to the design library, your projects will automatically inherit updates, improvements and new features published to the design library.	Le système de conception consiste, en partie, d'une bibliothèque Figma. Il s'agit du principal outil à utiliser par les concepteurs et il leur permet de créer des conceptions compatibles avec le système. La bibliothèque de conception est un ensemble centralisé de fichiers Figma qui est géré par une équipe de système de conception de base. En connectant votre projet à la bibliothèque de conception, vos projets hériteront automatiquement des mises à jour, des améliorations et des nouvelles fonctionnalités publiées dans la bibliothèque de conception.
Designers.AboutText2	Figma is a collaborative design platform that is built to handle UI/UX and design system use cases. Learn more about Figma <a class='link' target='_blank' href='https://www.figma.com'>here</a> or browse <a class='link' target='_blank' href='https://www.youtube.com/@Figma'>Figma’s Youtube channel</a> to become more familiar with the software or watch tutorials.	Figma est une plate-forme de conception collaborative conçue pour gérer les cas d'utilisation de l'interface utilisateur/UX et du système de conception. En savoir plus sur Figma <a class='link' target='_blank' href='https://www.figma.com'>ici</a> ou parcourir la chaîne <a class='link' target='_blank' href='https://www.youtube.com/@Figma'>[FR] Figma’s Youtube channel</a> de Figma pour vous familiariser avec le logiciel ou regarder des didacticiels.
Designers.AccessHeading	Requesting access to the design library	Demande d'accès à la bibliothèque de conception
Designers.AccessText1	The design library is published as a team library on Figma. There are currently three Figma files to connect to your project in order to access the full design system – Foundations, Components and Patterns. Here are the steps to get access:	La bibliothèque de conception est publiée en tant que bibliothèque d'équipe sur Figma. Il existe actuellement trois fichiers Figma à connecter à votre projet afin d'accéder au système de conception complet - Foundations, Components et Patterns. Voici les étapes pour y accéder :
Designers.AccessListItem1	<a class='link' target='_blank' href='https://www.figma.com/signup'>Create a Figma account</a> if you don’t have one already.	<a class='link' target='_blank' href='https://www.figma.com/signup'>Créez un compte Figma</a> si vous n'en avez pas déjà un.
Designers.AccessListItem2	Email <a class='link' href='mailto:Matthew.Emond@cic.gc.ca'>Matthew.Emond@cic.gc.ca</a> and tell us the email you use for your Figma account. You will receive a response as soon as we’ve granted you access.	Envoyez un courriel à <a class='link' href='mailto:Matthew.Emond@cic.gc.ca'>Matthew.Emond@cic.gc.ca</a> et indiquez-nous le courriel que vous utilisez pour votre compte Figma. Vous recevrez une réponse dès que nous vous aurons accordé l'accès.
Designers.AccessListItem3	Once you have received confirmation that you have access, log into Figma with the email you provided.	Une fois que vous avez reçu la confirmation que vous avez accès, connectez-vous à Figma avec le courriel que vous avez fourni.
Designers.AccessListItem4	Create a new design file or open an existing project.	Créez un nouveau fichier de conception ou ouvrez un projet existant.
Designers.AccessListItem5	On the left sidebar, select “Assets,” then select the Team Library icon.	Dans la barre latérale gauche, sélectionnez 'Assets', puis sélectionnez l'icône de la bibliothèque d'équipe.
Designers.AccessListItem6	Enable the team library by selecting the toggle next to the <strong>“Foundations”</strong>, <strong>“Components”</strong> and <strong>“Patterns”</strong> libraries.	Activez la bibliothèque d'équipe en sélectionnant la bascule à côté des bibliothèques “<strong>Foundations</strong>”, “<strong>Components</strong>” et “<strong>Patterns</strong>”.
Designers.AccessText2	You should now have access to the colours & text styles, components, and user patterns.	Vous devriez maintenant avoir accès aux styles de couleurs et de texte, aux composants et aux modèles utilisateur.
Designers.AccessText3	Once you have enabled the team libraries, you will automatically receive any updates or additions to styles and components that are published in the future.	Une fois que vous avez activé les bibliothèques d'équipe, vous recevrez automatiquement toutes les mises à jour ou ajouts aux styles et composants qui seront publiés à l'avenir.
Designers.FigmaImg1AltText	The Figma interface used for connecting external component libraries to a Figma file.	L'interface Figma utilisée pour connecter des bibliothèques de composants externes à un fichier Figma.
Designers.InstallFontsHeading	Installing the design system fonts	Installation des polices du système de conception
Designers.InstallFontsText1	The design system uses Lato, Inter and Font Awesome (icon font). Lato and Inter are Google fonts and should automatically be available within Figma in the font picker. Font Awesome has been set as a “shared font” for our organization plan and should also be available automatically within Figma in the font picker. If you are not a member of the “IRCC - Journey Labs” Figma organization, you will need to obtain and install a paid version of Font Awesome or use your own icon font in combination with this design system.	Le système de conception utilise Lato, Inter et Font Awesome (police d'icônes). Lato et Inter sont des polices Google et devraient être automatiquement disponibles dans Figma dans le sélecteur de polices. Font Awesome a été défini comme une 'police partagée' pour notre plan d'organisation et devrait également être disponible automatiquement dans Figma dans le sélecteur de polices. Si vous n'êtes pas membre de l'organisation Figma 'IRCC - Journey Labs', vous devrez obtenir et installer une version payante de Font Awesome ou utiliser votre propre police d'icônes en combinaison avec ce système de conception.
Designers.InstallFontsLink	<a class='link' target='_blank' href='https://fontawesome.com/'>Learn more about Font Awesome </a>	<a class='link' target='_blank' href='https://fontawesome.com/'>En savoir plus sur Font Awesome</a>
Designers.InstallFontsLinkURL	https://fontawesome.com/	https://fontawesome.com/
Designers.UsingStylesHeading	Using design system styles	Utilisation des styles du système de conception
Designers.UsingStylesText1	Once you’ve connected to the Figma libraries, and ensured you have access to the correct fonts within Figma, you’re ready to start using the colour and text styles from the system.	Une fois que vous vous êtes connecté aux bibliothèques Figma et que vous vous êtes assuré d'avoir accès aux bonnes polices dans Figma, vous êtes prêt à commencer à utiliser les styles de couleur et de texte du système.
Designers.UsingStylesStrokeText1	To apply a fill or stroke colour:	Pour appliquer une couleur de fond ou de trait :
Designers.UsingStylesStrokeListItem1	Make sure you’ve connected the <strong>“Foundations”</strong> library to your Figma file	Assurez-vous d'avoir connecté la bibliothèque 'Foundations' à votre fichier Figma
Designers.UsingStylesStrokeListItem2	Select the layer you want to apply the colour style to	Sélectionnez le calque auquel vous souhaitez appliquer le style de couleur
Designers.UsingStylesStrokeListItem3	In the design panel, click on the style icon (four dots) and find the system colour style you want to apply under the “fill” and/or “stroke” properties	Dans le panneau de conception, cliquez sur l'icône de style (quatre points) et recherchez le style de couleur système que vous souhaitez appliquer sous les propriétés 'fill' et/ou 'stroke'
Designers.UsingStylesStrokeListItem4	Pro tip: Use the search field to filter the colour style list	Conseil de pro : utilisez le champ de recherche pour filtrer la liste des styles de couleur
Designers.UsingStylesStrokeText2	Click <a class='link' href='/en/utilities#colours'>here</a> to see a list of all colour tokens and how they apply. We will be adding a colours page to this documentation site for additional details and guidance.	[FR] Click <a class='link' href='/en/utilities#colours'>here</a> to see a list of all colour tokens and how they apply. We will be adding a colours page to this documentation site for additional details and guidance.
Designers.UsingStylesStrokeImgAltText	The Figma interface used for applying colour styles to a layer.	L'interface Figma utilisée pour appliquer des styles de couleur à un calque.
Designers.UsingStylesTextText1	To apply a text style:	Pour appliquer un style de texte :
Designers.UsingStylesTextListItem1	Make sure you’ve connected the <strong>“Foundations”</strong> library to your Figma file	Assurez-vous d'avoir connecté la bibliothèque 'Foundations' à votre fichier Figma
Designers.UsingStylesTextListItem2	Select the text layer you want to the text style to	Sélectionnez le calque de texte auquel vous souhaitez définir le style de texte
Designers.UsingStylesTextListItem3	In the design panel, click on the style icon (four dots) and find the system text style you want to apply under the “text” property	Dans le panneau de conception, cliquez sur l'icône de style (quatre points) et recherchez le style de texte système que vous souhaitez appliquer sous la propriété 'text'.
Designers.UsingStylesTextListItem4	Pro tip: Use the search field to filter the text style list	Conseil de pro : utilisez le champ de recherche pour filtrer la liste des styles de texte
Designers.UsingStylesTextText2	Click <a class='link' href='/en/utilities#typography'>here</a> to see a list of all text tokens and how they apply. We will be adding a typography page to this documentation site for additional details and guidance.	[FR] Click <a class='link' href='/en/utilities#typography'>here</a> to see a list of all text tokens and how they apply. We will be adding a typography page to this documentation site for additional details and guidance.
Designers.UsingStylesTextImgAltText	The Figma interface used for applying text styles to a text layer.	L'interface Figma utilisée pour appliquer des styles de texte à un calque de texte.
Designers.UsingComponentsHeading	Using design system components	Utilisation des composants du système de conception
Designers.UsingComponentsText1	Once you’ve connected to the Figma libraries, and ensured you have access to the correct fonts within Figma, you’re ready to start using the components from the system.	Une fois que vous vous êtes connecté aux bibliothèques Figma et que vous vous êtes assuré d'avoir accès aux bonnes polices dans Figma, vous êtes prêt à commencer à utiliser les composants du système.
Designers.UsingComponentsInsertText1	To insert a system component into your design file:	Pour insérer un composant système dans votre fichier de conception :
Designers.UsingComponentsInsertListItem1	Make sure you’ve connected the <strong>“Components”</strong> and <strong>“Patterns”</strong> libraries to your Figma file	Assurez-vous d'avoir connecté les bibliothèques 'Components' et 'Patterns' à votre fichier Figma
Designers.UsingComponentsInsertListItem2	In the left side panel, click on the “Assets” tab	Dans le panneau de gauche, cliquez sur l'onglet 'Assets'
Designers.UsingComponentsInsertListItem3	Find the component you would like to insert into your design by either searching or browsing the component list	Trouvez le composant que vous souhaitez insérer dans votre conception en recherchant ou en parcourant la liste des composants
Designers.UsingComponentsInsertListItem4	Drag and drop the component from the side panel into your design	Faites glisser et déposez le composant du panneau latéral dans votre conception
Designers.UsingComponentsInsertListItem5	Pro tip: Use the search field to filter the component list	Conseil de pro : utilisez le champ de recherche pour filtrer la liste des composants
Designers.UsingComponentsInsertImgAlt	The Figma assets panel used for viewing external and local components.	Le panneau des actifs Figma utilisé pour afficher les composants externes et locaux.
Designers.UsingComponentsConfigureText1	Most components have configurable options. To configure the component you inserted:	La plupart des composants ont des options configurables. Pour configurer le composant que vous avez inséré :
Designers.UsingComponentsConfigureListItem1	Select the component you would like to configure	Sélectionnez le composant que vous souhaitez configurer
Designers.UsingComponentsConfigureListItem2	Find the available options in the design panel	Trouvez les options disponibles dans le panneau de conception
Designers.UsingComponentsConfigureListItem3	Use the dropdown menus and toggles to select the desired configuration	Utilisez les menus déroulants et basculez pour sélectionner la configuration souhaitée
Designers.UsingComponentsConfigureImgAlt	The Figma design panel displaying configuration options for a button component.	Le panneau de conception Figma affichant les options de configuration pour un composant de bouton.
Designers.FigmaHeading	Figma usage guidelines	Consignes d'utilisation de Figma
Designers.FigmaText	The above is general information in order to get started. You can find more detailed Figma usage guidelines specific to each system part on on their respective pages throughout this site.	Ce qui précède est une information générale afin de commencer. Vous pouvez trouver des directives d'utilisation Figma plus détaillées spécifiques à chaque partie du système sur leurs pages respectives sur ce site.
Developers.Title	For developers	[FR] For developers
Developers.GetStartedHeading	Getting started	Commencer
Developers.UsageHeading	Usage	Usage
Developers.ThemesHeading	Themes	Themes
Developers.FontAwesomeHeading	Font Awesome	Font Awesome
Developers.ReleasesHeading	Releases	Versions
Developers.GetStartedTxt	To install the IRCC Digital Journey Labs Design System styles, you will need to run the following command using <a class='link' target='_blank' href='https://www.npmjs.com'>npm</a>:	[FR] To install the IRCC Digital Journey Labs Design System styles, you will need to run the following command using <a class='link' target='_blank' href='https://www.npmjs.com'>npm</a>:
Developers.UsageTxt	In your root-level stylesheet, initialize the design system with the following:	[FR] In your root-level stylesheet, initialize the design system with the following:
Developers.UsageTitle1	For external websites:	[FR] For external websites:
Developers.UsageTitle2	For internal websites:	[FR] For internal websites:
Developers.ThemesTxt	You can set the theme for your project to either Light, Dark or System. Setting the theme to System will apply the Light or Dark theme to your applications UI based on the users Operating System preferences.	[FR] You can set the theme for your project to either Light, Dark or System. Setting the theme to System will apply the Light or Dark theme to your applications UI based on the users Operating System preferences.
Developers.ThemesTitle1	To use the Light theme:	[FR] To use the Light theme:
Developers.ThemesTitle2	To use the Dark theme:	[FR] To use the Dark theme:
Developers.ThemesTitle3	To use the users Operating System preference to set the theme:	[FR] To use the users Operating System preference to set the theme:
Developers.FontAwesomeTxt	The Design System core leverages the use of Font Awesome kits to import icons used by the design system. Place the following in the head of your project to pull down the relevant icons.	[FR] The Design System core leverages the use of Font Awesome kits to import icons used by the design system. Place the following in the head of your project to pull down the relevant icons.
Developers.ReleasesTxt	The Design System utilizes three different types of releases: patch releases, beta releases and full releases. To target a specific release type use the relevant pattern and specify the release number.	[FR] The Design System utilizes three different types of releases: patch releases, beta releases and full releases. To target a specific release type use the relevant pattern and specify the release number.
Developers.ReleasesTitle1	To install a patch release:	[FR] To install a patch release:
Developers.ReleasesTitle2	To install a beta release:	[FR] To install a beta release:
Developers.ReleasesTitle3	To install a full release:	[FR] To install a full release:
ERROR.fieldIsInvalid	This field is invalid.	Ce champ est invalide.
ERROR.fieldExceededMaxLength	This field has exceeded max length.	Ce champ a dépassé la longueur maximale.
ERROR.testErrorMessage	Test error message.	Tester le message d'erreur.
ERROR.errorMessage	Error message	Message d'erreur
Contact.Text	To provide feedback (compliment, comment or complaint) or for any inquiries, contact <a class='link' href='mailto:IRCC.JLDS-JLSDC.IRCC@cic.gc.ca'>IRCC.JLDS-JLSDC.IRCC@cic.gc.ca</a>.	Pour faire part de vos commentaires (compliment, commentaire ou plainte) ou pour toute demande de renseignements, contactez <a class='link' href='mailto:IRCC.JLDS-JLSDC.IRCC@cic.gc.ca'>IRCC.JLDS-JLSDC.IRCC@cic.gc.ca</a>.
Accordion.ShowCode	Show Code	Afficher le code
Accordion.HideCode	Hide Code	Masquer le code
Accordion.CopyCode	Copy Code	Copier le code
ACC_DEMO.MODAL_TITLE	Steps	Steps
ACC_DEMO.HAMBURGER_ARIA	Open the progress indicator	undefined
ACC_DEMO.PREVIOUS_PAGE.HEADER	Background information	Background information
ACC_DEMO.PREVIOUS_PAGE.CONTENT	This page is not part of the prototype. Please use the button below to return to the previous screen.	This page is not part of the prototype. Please use the button below to return to the previous screen.
ACC_DEMO.NEXT_PAGE	This is an example of a next page - it is simply here for demonstration purposes and is not set up for correct accessibility. Note the update to the progress indicator at the top of the page. You can navigate using the progress indicator	This is an example of a next page - it is simply here for demonstration purposes and is not set up for correct accessibility. Note the update to the progress indicator at the top of the page. You can navigate using the progress indicator
ACC_DEMO.ERRORS.REQUIRED	This field is required.	This field is required.
ACC_DEMO.ERRORS.FAMILY_NAME_REQUIRED	This field is blank. Please enter a family name	This field is blank. Please enter a family name
ACC_DEMO.ERRORS.SELECTS_RADIO_REQUIRED	No selection has been made. Please select an option	No selection has been made. Please select an option
ACC_DEMO.ERRORS.DOB_NO_SELECTION_REQUIRED	No selection has been made. Please fill in the fields to complete your date of birth.	No selection has been made. Please fill in the fields to complete your date of birth.
ACC_DEMO.ERRORS.DOB_REQUIRED	Please fill in the missing fields to complete your date of birth.	Please fill in the missing fields to complete your date of birth.
ACC_DEMO.ERRORS.DECLARATION_REQUIRED	No selection has been made. Please make a selection to complete your declaration	No selection has been made. Please make a selection to complete your declaration
ACC_DEMO.ERRORS.DECLARATION_CUSTOM	You must agree to continue	You must agree to continue
ACC_DEMO.STEPPER.STEP1	Background information	Background information
ACC_DEMO.STEPPER.STEP2	Personal information	Personal information
ACC_DEMO.STEPPER.STEP3	Work information	Work information
ACC_DEMO.STEPPER.STEP4	Review & submit	Review & submit
ACC_DEMO.PERSONAL_INFO.ERROR_BANNER.TITLE	Missing information	Missing information
ACC_DEMO.PERSONAL_INFO.ERROR_BANNER.CONTENT	There are unresolved errors below.	There are unresolved errors below.
ACC_DEMO.PERSONAL_INFO.H1	Personal information	Personal information
ACC_DEMO.PERSONAL_INFO.BODY	Enter the correct information in the spaces below as it appears in your passport, travel or identity documents.	Enter the correct information in the spaces below as it appears in your passport, travel or identity documents.
ACC_DEMO.PERSONAL_INFO.FAMILY_NAME_INPUT.LABEL	Family name (required)	Family name (required)
ACC_DEMO.PERSONAL_INFO.FAMILY_NAME_INPUT.LABEL_INFO_BUTTON_ARIA	more information	more information
ACC_DEMO.PERSONAL_INFO.FAMILY_NAME_INPUT.DESC	This is your surname or last name	This is your surname or last name
ACC_DEMO.PERSONAL_INFO.FAMILY_NAME_INPUT.BANNER	If you do not have a family name, provide all your given names in the family name field and leave the given names field blank.	If you do not have a family name, provide all your given names in the family name field and leave the given names field blank.
ACC_DEMO.PERSONAL_INFO.FAMILY_NAME_INPUT.BANNER_CLOSE	Family name info banner. Close	undefined
ACC_DEMO.PERSONAL_INFO.GIVEN_NAME_INPUT.LABEL	Given name	Given name
ACC_DEMO.PERSONAL_INFO.GIVEN_NAME_INPUT.DESC	This is your first name and middle name, if applicable	This is your first name and middle name, if applicable
ACC_DEMO.PERSONAL_INFO.SEX_AT_BIRTH_RADIO.LABEL	Sex at birth (required)	Sex at birth (required)
ACC_DEMO.PERSONAL_INFO.SEX_AT_BIRTH_RADIO.LABEL_INFO_BUTTON_ARIA	more information	more information
ACC_DEMO.PERSONAL_INFO.SEX_AT_BIRTH_RADIO.FEMALE	F - Female	F - Female
ACC_DEMO.PERSONAL_INFO.SEX_AT_BIRTH_RADIO.MALE	M - Male	M - Male
ACC_DEMO.PERSONAL_INFO.SEX_AT_BIRTH_RADIO.OTHER	X - Another sex	X - Another sex
ACC_DEMO.PERSONAL_INFO.SEX_AT_BIRTH_RADIO.BANNER	<p>This question is asked for identity verification purposes only. <br><br>Sex refers to your status at birth, and may not reflect your precise gender identity.</p>	<p>This question is asked for identity verification purposes only. <br><br>Sex refers to your status at birth, and may not reflect your precise gender identity.</p>
ACC_DEMO.PERSONAL_INFO.SEX_AT_BIRTH_RADIO.BANNER_CLOSE	Sex at birth info banner. Close	undefined
ACC_DEMO.PERSONAL_INFO.DATE_OF_BIRTH.LABEL	Date of birth (required)	Date de naissance
ACC_DEMO.PERSONAL_INFO.COUNTRY_OF_BIRTH.LABEL	Country/territory of birth (required)	Country/territory of birth (required)
ACC_DEMO.PERSONAL_INFO.COUNTRY_OF_BIRTH.OPTIONS.CANADA	Canada	Canada
ACC_DEMO.PERSONAL_INFO.COUNTRY_OF_BIRTH.OPTIONS.USA	United States of America	United States of America
ACC_DEMO.PERSONAL_INFO.COUNTRY_OF_BIRTH.OPTIONS.MEXICO	Mexico	Mexico
ACC_DEMO.PERSONAL_INFO.CITY_OF_BIRTH.LABEL	City or town of birth (required)	City or town of birth (required)
ACC_DEMO.PERSONAL_INFO.CITY_OF_BIRTH.OPTIONS.CANADA.OTTAWA	Ottawa	Ottawa
ACC_DEMO.PERSONAL_INFO.CITY_OF_BIRTH.OPTIONS.CANADA.ST_JOHNS	St. John's	St. John's
ACC_DEMO.PERSONAL_INFO.CITY_OF_BIRTH.OPTIONS.CANADA.VICTORIA	Victoria	Victoria
ACC_DEMO.PERSONAL_INFO.CITY_OF_BIRTH.OPTIONS.CANADA.CALGARY	Calgary	Calgary
ACC_DEMO.PERSONAL_INFO.CITY_OF_BIRTH.OPTIONS.USA.TAMPA	Tampa Bay	Tampa Bay
ACC_DEMO.PERSONAL_INFO.CITY_OF_BIRTH.OPTIONS.USA.WASHINGTON	Washington	Washington
ACC_DEMO.PERSONAL_INFO.CITY_OF_BIRTH.OPTIONS.USA.NEW_YORK	New York	New York
ACC_DEMO.PERSONAL_INFO.CITY_OF_BIRTH.OPTIONS.USA.OAKLAND	Oakland	Oakland
ACC_DEMO.PERSONAL_INFO.CITY_OF_BIRTH.OPTIONS.MEXICO.MEXICO	Mexico City	Mexico City
ACC_DEMO.PERSONAL_INFO.DECLARATION.INLINE_LABEL	I declare that the above information is true and accurate.	I declare that the above information is true and accurate.
ACC_DEMO.PERSONAL_INFO.DECLARATION.LABEL	Declaration (required)	Declaration (required)
ACC_DEMO.BUTTONS.PREVIOUS	Previous step	Previous step
ACC_DEMO.BUTTONS.NEXT	Save and continue	Save and continue
ACC_DEMO.BUTTONS.PREVIOUS_PAGE_NEXT	Next	Next
ACC_DEMO.BUTTONS.HAMBURGER	Menu	Menu
ACC_DEMO.BREADCRUMB_COMPONENT.ADDITIONAL_LINKS	Additional links	Liens supplémentaires
Indicator.Heading	Indicator	Indicateur
QA.header	QA Landing Page	Page de destination du contrôle qualité
QA.michael	Michael	Michael
DEMO_COMPONENT.ACCORDION_OPEN	Hide configurations	Masquer les configurations
DEMO_COMPONENT.ACCORDION_CLOSED	Show configurations	Afficher les configurations
Input.Title	Input	Input
Input.TypesHeading	Types	Types
Input.ConfigurationsHeading	Configurations	Configurations
Input.DesignGuidelinesHeading	Design guidelines	Design guidelines
Input.AnatomyHeading	Anatomy	Anatomy
Input.SpecsHeading	Specs	Specs
Input.ContentGuidelinesHeading	Content guidelines	Content guidelines
Input.FigmaHeading	Usage in Figma	Usage in Figma
Input.AccessibilityHeading	Accessibility	Accessibility
Input.Intro	The input component provides fields that allow users to enter information. The input component provides several configurable options to clearly communicate form requirements for many use-cases.	The input component provides fields that allow users to enter information. The input component provides several configurable options to clearly communicate form requirements for many use-cases.
Input.InteractiveDemo	Interactive Demo	Interactive Demo
Input.InteractiveDemoDesc	Try our input component and the configurable options available within it.	Try our input component and the configurable options available within it.
Input.PrimaryHeading	Basic input	Basic input
Input.SecondaryHeading	Password input	Password input
Input.PrimaryText	The basic input allows for entry of single-line information. The form component is configurable to fit various use cases and layouts. See available configurations below.	The basic input allows for entry of single-line information. The form component is configurable to fit various use cases and layouts. See available configurations below.
Input.SecondaryText	The password input allows users to enter their password. The password can be hidden or shown.	The password input allows users to enter their password. The password can be hidden or shown.
Input.ConfigHintHeading	Hint	Hint
Input.ConfigHintTrue	TRUE	TRUE
Input.ConfigHintFalse	FALSE	FALSE
Input.ConfigRequiredHeading	Required	Required
Input.ConfigRequiredTrue	TRUE	TRUE
Input.ConfigRequiredFalse	FALSE	FALSE
Input.ConfigErrorHeading	Error	Error
